order_id,region,processing_time,delivery_time,error_flag,status
1,North,5,10,0,Delivered
2,South,7,14,1,Delayed
3,East,3,6,0,Delivered
4,West,4,8,0,Delivered
5,North,6,12,1,Delayed
6,South,2,5,0,Delivered
7,East,8,15,1,Delayed
8,West,3,7,0,Delivered
9,North,9,18,1,Delayed
10,South,4,9,0,Delivered
11,East,5,11,0,Delivered
12,West,7,13,1,Delayed
13,North,2,4,0,Delivered
14,South,8,16,1,Delayed
15,East,6,12,0,Delivered
16,West,3,6,0,Delivered
17,North,10,20,1,Delayed
18,South,5,10,0,Delivered
19,East,7,14,1,Delayed
20,West,4,9,0,Delivered
